,Nsp7,Nsp10,Nsp9,RdRpb,E,Orf4a,Nsp2,N,Nsp8,Nsp4,Orf8b,Nsp3,NendoU,M,RdRpa,Nsp1,Orf5,Hel,2Omethyltransferase,ExoN,S2,Orf3,S1,Nsp6,Orf4b,Nsp5
Human,"{'slope': 0.0, 'intercept': 0.0, 'r': 0.0, 'p': 1.0, 'se': 0.0}","{'slope': 0.0014368982243937929, 'intercept': -2.8918708748792907, 'r': 0.7504103984232101, 'p': 6.052286098445164e-29, 'se': 0.00010299636016282409}","{'slope': -2.45461903109412e-05, 'intercept': 0.04956556744514843, 'r': -0.08719424543048024, 'p': 0.2838408369277682, 'se': 2.2821834776458886e-05}","{'slope': 0.8407353080222332, 'intercept': -1692.2075038462963, 'r': 0.7649023880010656, 'p': 1.2100089518663837e-30, 'se': 0.05761681543667446}","{'slope': 0.0015359921097975074, 'intercept': -3.0911975248931705, 'r': 0.6456073290459675, 'p': 2.073024954079176e-19, 'se': 0.00014785551611332502}","{'slope': 0.002516350323055977, 'intercept': -5.064660040375138, 'r': 0.8514048247180019, 'p': 3.6579369199428243e-44, 'se': 0.00012615357789476936}","{'slope': 4.9201123195426807e-05, 'intercept': -0.09742580410615292, 'r': 0.12448250070974433, 'p': 0.1252498106726709, 'se': 3.191442362622006e-05}","{'slope': 0.00025961274534571353, 'intercept': -0.5221934266496775, 'r': 0.5280088290436246, 'p': 2.320288599378827e-12, 'se': 3.3980222694473935e-05}","{'slope': 2.8563487878864984e-05, 'intercept': -0.05747478480448005, 'r': 0.0912263525666968, 'p': 0.262077607902898, 'se': 2.5373930049969746e-05}","{'slope': 0.0003688634353362501, 'intercept': -0.7415016824432408, 'r': 0.6799948454929728, 'p': 4.2275423954833336e-22, 'se': 3.236711373254369e-05}","{'slope': 0.001491683129101695, 'intercept': -2.998488335658456, 'r': 0.7323094029495805, 'p': 5.5864951904317706e-27, 'se': 0.00011288150296619611}","{'slope': 0.0007916140396430867, 'intercept': -1.5917074346069777, 'r': 0.8423785253094574, 'p': 2.1934967946802925e-42, 'se': 4.1211161236335754e-05}","{'slope': 0.00016118021940909872, 'intercept': -0.3239344143134359, 'r': 0.4216285710971694, 'p': 5.7082365050699304e-08, 'se': 2.8209132026016795e-05}","{'slope': 0.0005918631302207042, 'intercept': -1.190608986277799, 'r': 0.6587599844290126, 'p': 2.133350091515527e-20, 'se': 5.5008189860380204e-05}","{'slope': 0.0001555022828999515, 'intercept': -0.3068389376978213, 'r': 0.00369335132984734, 'p': 0.9638604255175658, 'se': 0.0034262946775215583}","{'slope': 0.0006370734661243812, 'intercept': -1.2817920703204573, 'r': 0.7033991306469392, 'p': 3.759117038621865e-24, 'se': 5.238942559778495e-05}","{'slope': 0.00045951111594399563, 'intercept': -0.9240609290840636, 'r': 0.5540170430879601, 'p': 1.0976347335918079e-13, 'se': 5.6191605792012106e-05}","{'slope': 1.5742311003484402e-05, 'intercept': -0.031644430907427565, 'r': 0.13415435483824167, 'p': 0.09827562732596798, 'se': 9.463059268828946e-06}","{'slope': 0.020087520426281202, 'intercept': -40.35051575413084, 'r': 0.10800563252635263, 'p': 0.18388400170680558, 'se': 0.015046777296919812}","{'slope': 0.0007384490599706477, 'intercept': -1.4858010171522205, 'r': 0.7809853508659333, 'p': 1.1165362822122289e-32, 'se': 4.805692035254066e-05}","{'slope': -2.8302651692357025e-05, 'intercept': 0.058487946882674294, 'r': -0.11138834372453928, 'p': 0.1704471746213822, 'se': 2.0548864502629677e-05}","{'slope': 0.0030042594888196688, 'intercept': -6.0466457029856535, 'r': 0.8067815225890126, 'p': 2.491818835338869e-36, 'se': 0.0001790482879740049}","{'slope': 0.0002829951583702029, 'intercept': -0.5685569226621978, 'r': 0.7659635375741431, 'p': 8.986156291365785e-31, 'se': 1.9329252714869658e-05}","{'slope': -2.502271784983025e-05, 'intercept': 0.0507924519649891, 'r': -0.08276801120317076, 'p': 0.3090895433912003, 'se': 2.451832457950757e-05}","{'slope': 0.0008073054841894044, 'intercept': -1.6245087363752155, 'r': 0.694433711637936, 'p': 2.420593016148687e-23, 'se': 6.807437214959207e-05}","{'slope': 1.3779160264844657e-05, 'intercept': -0.027690038663790727, 'r': 0.0937196298108296, 'p': 0.24920639247199483, 'se': 1.1912091025465674e-05}"
Camel,"{'slope': -2.1128708336952287e-05, 'intercept': 0.04271137104567202, 'r': -0.05318680606018872, 'p': 0.2808682069466431, 'se': 1.956739362591221e-05}","{'slope': 1.760361043755301e-05, 'intercept': -0.03160835968500936, 'r': 0.008293761044335836, 'p': 0.8665508803090218, 'se': 0.00010469221356195846}","{'slope': 5.994030015334588e-05, 'intercept': -0.1207933674659731, 'r': 0.2807077794460347, 'p': 6.456667088332875e-09, 'se': 1.010930406039164e-05}","{'slope': 0.45703839127364343, 'intercept': -919.0574413111292, 'r': 0.4131715388855688, 'p': 1.8524699376668656e-18, 'se': 0.04968832985349114}","{'slope': 0.0001747986787096485, 'intercept': -0.3479339135619311, 'r': 0.07871335611059778, 'p': 0.11020437418292377, 'se': 0.00010919914055181991}","{'slope': 0.0005375471678130887, 'intercept': -1.0781425567193537, 'r': 0.20880463238786293, 'p': 1.8875420563359902e-05, 'se': 0.0001241868077089575}","{'slope': 0.00013538545340412172, 'intercept': -0.2709643652404903, 'r': 0.24057059962152263, 'p': 7.536898638024655e-07, 'se': 2.6944056938257354e-05}","{'slope': 0.0003762821535610944, 'intercept': -0.7575432740523947, 'r': 0.5103562915700953, 'p': 9.018626996340949e-29, 'se': 3.127512331344065e-05}","{'slope': 1.553932378474183e-05, 'intercept': -0.031273967152562594, 'r': 0.09021924752268132, 'p': 0.06700334322778005, 'se': 8.461304010530807e-06}","{'slope': 0.00021752163046708068, 'intercept': -0.4364984674948498, 'r': 0.3331947930414413, 'p': 3.642803940178781e-12, 'se': 3.0361947761430917e-05}","{'slope': 0.00023898025491630212, 'intercept': -0.4743470077764123, 'r': 0.1058837410368911, 'p': 0.031449295541566745, 'se': 0.00011070406406374699}","{'slope': 0.00033390928305266883, 'intercept': -0.6692772899285779, 'r': 0.3962087674306729, 'p': 5.634985028021996e-17, 'se': 3.816823542303322e-05}","{'slope': 6.862559490746484e-06, 'intercept': -0.01243929225616779, 'r': 0.011221662147329116, 'p': 0.8201383072157927, 'se': 3.0163426580020066e-05}","{'slope': -3.514233066246059e-05, 'intercept': 0.07312751608850401, 'r': -0.037678410270299334, 'p': 0.44506618382527285, 'se': 4.5973607561614864e-05}","{'slope': 0.0, 'intercept': 0.0, 'r': 0.0, 'p': 1.0, 'se': 0.0}","{'slope': 0.00032078937391405855, 'intercept': -0.643847274548882, 'r': 0.3022123346678215, 'p': 3.6040473000444666e-10, 'se': 4.9910213029796116e-05}","{'slope': 0.00046074521487807473, 'intercept': -0.926233603305461, 'r': 0.4844575477974499, 'p': 1.0805762252255411e-25, 'se': 4.103933393572929e-05}","{'slope': 0.0002209142626962133, 'intercept': -0.44501338035210564, 'r': 0.577917635084723, 'p': 3.599752010599378e-38, 'se': 1.5387840153962476e-05}","{'slope': 0.13024907988338533, 'intercept': -262.3835428290176, 'r': 0.43967155688169274, 'p': 5.962737275441221e-21, 'se': 0.013124368877528152}","{'slope': 8.498716991317991e-05, 'intercept': -0.1686924530131962, 'r': 0.09231620167396017, 'p': 0.060874612323561325, 'se': 4.5216402766695635e-05}","{'slope': -9.679803520772602e-05, 'intercept': 0.1964524055771794, 'r': -0.3320538212500371, 'p': 4.355466302566895e-12, 'se': 1.356340625215135e-05}","{'slope': 0.004453123951343939, 'intercept': -8.96554984761244, 'r': 0.7088688122664305, 'p': 2.7228976737014825e-64, 'se': 0.00021856304441936937}","{'slope': 0.00022262999603801792, 'intercept': -0.446768379466272, 'r': 0.5782483707067719, 'p': 3.197217118951065e-38, 'se': 1.5494030595486557e-05}","{'slope': 0.0001757823451189085, 'intercept': -0.3539504624571518, 'r': 0.4148584170206983, 'p': 1.3049118281877935e-18, 'se': 1.901697387278544e-05}","{'slope': 0.0005739744016947584, 'intercept': -1.153630794416519, 'r': 0.2919805594312686, 'p': 1.466076516443029e-09, 'se': 9.274024896547242e-05}","{'slope': 0.0002919552776694434, 'intercept': -0.5881725856315231, 'r': 0.5899222065039001, 'p': 4.454192945703517e-40, 'se': 1.9711593681952603e-05}"
