Map from character to field name
A:	Burkina Faso
B:	Egypt
C:	Ethiopia
D:	Jordan
E:	Kenya
F:	Morocco
G:	Nigeria
H:	Oman
I:	Qatar
J:	Saudi Arabia
K:	United Arab Emirates
L:	?


Substitution rate (mu): 25.701804

Equilibrium frequencies (pi_i):
  A: 0.0953
  B: 0.0941
  C: 0.0946
  D: 0.0891
  E: 0.1111
  F: 0.0955
  G: 0.0966
  H: 0.0868
  I: 0.088
  J: 0.0705
  K: 0.0784

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J	K
  A	0	1.3668	0.9099	0.9085	0.908	1.3711	1.3761	0.9093	0.9093	0.8975	0.8976
  B	1.3668	0	1.8652	0.9081	0.9079	0.9173	0.9187	0.9091	0.909	0.8987	1.2388
  C	0.9099	1.8652	0	0.9062	2.9857	0.9069	0.9062	0.9073	0.9071	0.8972	1.2254
  D	0.9085	0.9081	0.9062	0	0.9074	0.9088	0.908	0.9088	0.9088	1.3501	0.8962
  E	0.908	0.9079	2.9857	0.9074	0	0.9083	0.9074	0.9085	0.9084	0.8949	0.8934
  F	1.3711	0.9173	0.9069	0.9088	0.9083	0	0.9123	0.9096	0.9096	0.8977	0.896
  G	1.3761	0.9187	0.9062	0.908	0.9074	0.9123	0	0.9089	0.9089	0.897	0.8952
  H	0.9093	0.9091	0.9073	0.9088	0.9085	0.9096	0.9089	0	0.9096	0.8988	1.348
  I	0.9093	0.909	0.9071	0.9088	0.9084	0.9096	0.9089	0.9096	0	1.3499	0.897
  J	0.8975	0.8987	0.8972	1.3501	0.8949	0.8977	0.897	0.8988	1.3499	0	6.7444
  K	0.8976	1.2388	1.2254	0.8962	0.8934	0.896	0.8952	1.348	0.897	6.7444	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J	K
  A	0	0.1303	0.0867	0.0866	0.0865	0.1307	0.1312	0.0867	0.0867	0.0855	0.0855
  B	0.1286	0	0.1755	0.0855	0.0854	0.0863	0.0865	0.0856	0.0855	0.0846	0.1166
  C	0.0861	0.1764	0	0.0857	0.2824	0.0858	0.0857	0.0858	0.0858	0.0849	0.1159
  D	0.0809	0.0809	0.0808	0	0.0809	0.081	0.0809	0.081	0.081	0.1203	0.0799
  E	0.1009	0.1009	0.3317	0.1008	0	0.1009	0.1008	0.1009	0.1009	0.0994	0.0993
  F	0.1309	0.0876	0.0866	0.0868	0.0867	0	0.0871	0.0868	0.0868	0.0857	0.0855
  G	0.133	0.0888	0.0876	0.0878	0.0877	0.0882	0	0.0878	0.0878	0.0867	0.0865
  H	0.0789	0.0789	0.0788	0.0789	0.0789	0.079	0.0789	0	0.079	0.078	0.117
  I	0.0801	0.08	0.0799	0.08	0.08	0.0801	0.08	0.0801	0	0.1189	0.079
  J	0.0633	0.0633	0.0632	0.0952	0.0631	0.0633	0.0632	0.0633	0.0951	0	0.4754
  K	0.0703	0.0971	0.096	0.0702	0.07	0.0702	0.0701	0.1056	0.0703	0.5284	0
